URL,name,title,owner_org,public_site,Owner ,notes,location,region,latitude,longitude,site_type,status,,,,ckan_version,extensions,contact_email,tag_string,language,num_datasets,num_organizations,num_groups,is_featured,topic_id
https://data.deutschebahn.com,datadeutschebahncom,Das Datenportal der Deutschen Bahn AG.,Deutschen Bahn AG,open,Business,,,DE,dataset,,Open data portal,active,active,TRUE,,,,https://www.deutschebahn.com,has_api,DE,,,,,
https://datenregister.berlin.de,datenregisterberlinde,Datenregister Berlin,Berlin Government,closed,Local government,,,DE,dataset,,Open data portal,active,active,TRUE,,,,https://berlin.de,"government,has_api",DE,,,,,
https://daten.rlp.de,datenrlpde,Über Open Data Plattform Rheinland-Pfalz,Government of Rheinland-Pfalz,open,Regional government,,,DE,dataset,,Open data portal,active,active,TRUE,,,,https://rlp.de,has_api,DE,,,,,
https://govdata.de,govdatade,Das Datenportal für Deutschland Open Government,FITKO (Föderale IT-Kooperation),open,Central government,,,DE,dataset,,Open data portal,active,active,TRUE,,,,https://fitko.de,"government,has_api",DE,,,,,
https://offenedaten.frankfurt.de,offenedatenfrankfurtde,Offene Daten Portal der Stadt Frankfurt/Main,Stadt Frankfurt/Main,open,Local government,,,DE,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",DE,,,,,
https://www.opendata-hro.de,wwwopendatahrode,OpenData.HRO,Universitätsstadt Rostock,open,Academy,,,DE,dataset,,Open data portal,active,active,TRUE,,,,,has_api,DE,,,,,
https://data.kk.dk,datakkdk,Copenhagen Data,,open,Local government,,,DK,dataset,,Open data portal,uncertain,active,TRUE,,,,,"government,has_api",EN,,,,,
https://dataportal.geofyn.dk,dataportalgeofyndk,Geo Fyn,,open,Government,,,DK,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",DA,,,,,
https://datasets.catalogue.data.gov.dk,datasetscataloguedatagovdk,Digitaliseringsstyrelsen,,open,Central government,,,DK,dataset,,Open data portal,uncertain,active,TRUE,,,,,"government,has_api",DA,,,,,
https://datos.gob.do,datosgobdo,Datos Abiertos Dominicana,Government of Dominicana,open,Central government,,,DO,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",ES,,,,,
https://catalogo.datosabiertos.gob.ec,catalogodatosabiertosgobec,Datos Abiertos Ecuador,Gobierno del Ecuador,open,Central government,,,EC,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",ES,,,,,
https://datosabiertos.gob.ec,datosabiertosgobec,datosabiertos.gob.ec,,open,Central government,,,EC,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",ES,,,,,
http://op.espoch.edu.ec,opespocheduec,Escuela Superior Politécnica de Chimborazo open data,Escuela Superior Politécnica de Chimborazo,open,Academy,,,EC,dataset,,Open data portal,active,active,TRUE,,,,https://www.espoch.edu.ec,"government,has_api",ES,,,,,
https://sil.eloro.gob.ec,silelorogobec,Sistema de Información Local Gobierno Autónomo Descentralizado Provincial de El Oro,Gobierno Autónomo Descentralizado Provincial de El Oro,open,Regional government,,,EC,dataset,,Open data portal,active,active,TRUE,,,,https://eloro.gob.ec,"government,has_api",ES,,,,,
http://sil.loja.gob.ec,sillojagobec,Sistema de Información Local Municipal de Loja,Municipal de Loja,open,Local government,,,EC,dataset,,Open data portal,active,active,TRUE,,,,https://loja.gob.ec,"government,has_api",ES,,,,,
http://datosabiertos.fuengirola.es,datosabiertosfuengirolaes,Portal datos abiertos el Ayuntamiento de Fuengirola,El Ayuntamiento de Fuengirola,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://fuengirola.es,has_api,ES,,,,,
http://datosabiertos.laspalmasgc.es,datosabiertoslaspalmasgces,Portal de Datos Abiertos Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://laspalmasgc.es,government,ES,,,,,
http://datosabiertos.navarra.es,datosabiertosnavarraes,Datos Abiertos Navarra,Gobierno Abierto de Navarra,open,Regional government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://gobiernoabierto.navarra.es,"government,has_api",ES,,,,,
https://datosabiertos.rivasciudad.es,datosabiertosrivasciudades,Ayuntamiento de Rivas Vaciamadrid - Portal de Datos Abiertos,Ayuntamiento de Rivas Vaciamadrid,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://rivasciudad.es,has_api,ES,,,,,
http://datosabiertos.sevilla.org,datosabiertossevillaorg,Datos Abiertos Sevilla,Ayuntamiento de Sevilla,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://sevilla.org,"government,has_api",ES,,,,,
https://datos.aytolalaguna.es,datosaytolalagunaes,OpenData San Cristóbal de La Laguna,Ayntamiento San Cristóbal de La Laguna,open,Local government,,,ES,dataset,,Open data portal,deprecated,active,TRUE,,,,https://aytolalaguna.es,has_api,ES,,,,,
http://datos.canarias.es,datoscanariases,Datos Abiertos de Canarias,Gobierno de Canarias,open,Regional government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://canarias.es,"government,has_api",ES,,,,,
https://datos.icane.es,datosicanees,atálogo de Información Estadística Pública de la Comunidad Autónoma de Cantabria,Comunidad Autónoma de Cantabria,open,Regional government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://www.icane.es,has_api,ES,,,,,
